"x"
"O14791"
"P05154"
"Q9UNW1"
"P04180"
"P08571"
"P05156"
"P19827"
"P18428"
"Q6EMK4"
"Q9Y5Y7"
"P02790"
"P48740"
"P63104"
"P24592"
"P07358"
"P08185"
"P61769"
"P02774"
"P22792"
"Q92954"
"P02786"
"P01011"
"Q99969"
"P23142"
"Q16627"
"P16070"
"P29622"
"Q96PD5"
"P43251"
"P02746"
"Q9UGM5"
"P02751"
"P55058"
"P01042"
"Q9HDC9"
"P04275"
"P02652"
"O95445"
"P10643"
"P05452"
"Q86YW5"
"P49747"
"P02654"
"P02647"
"Q96KN2"
"P05543"
"P15169"
"P22692"
"P06681"
"P02747"
"Q13790"
"P07360"
"Q15166"
"P02776"
"P01019"
"Q8NBP7"
"Q12805"
"P04196"
"P02748"
"P35858"
